nav_date,close
2003-02-04,97.82
2003-02-05,97.87
2003-02-06,98.01
2003-02-07,98.32
2003-02-10,97.9
2003-02-11,97.88
2003-02-12,97.81
2003-02-13,97.57
2003-02-14,97.65
2003-02-17,97.69
2003-02-18,97.88
2003-02-19,97.94
2003-02-20,97.9
2003-02-21,97.91
2003-02-24,97.87
2003-02-25,97.95
2003-02-26,98.0
2003-02-27,97.95
2003-02-28,97.82
2003-03-03,98.14
2003-03-04,97.92
2003-03-05,97.99
2003-03-06,98.02
2003-03-07,97.99
2003-03-10,97.72
2003-03-11,97.6
2003-03-12,97.72
2003-03-13,97.47
2003-03-14,97.31
2003-03-17,97.34
2003-03-18,97.36
2003-03-19,97.59
2003-03-20,97.99
2003-03-21,98.07
2003-03-24,98.2
2003-03-25,98.27
2003-03-26,98.75
2003-03-27,98.81
2003-03-28,98.85
2003-03-31,99.56
2003-04-01,99.52
2003-04-02,99.76
2003-04-03,100.3
2003-04-04,100.28
2003-04-07,100.39
2003-04-08,100.45
2003-04-09,100.6
2003-04-10,100.65
2003-04-11,100.67
2003-04-14,100.74
2003-04-15,102.1
2003-04-16,102.05
2003-04-17,102.09
2003-04-22,102.03
2003-04-23,102.37
2003-04-24,102.56
2003-04-25,102.66
2003-04-28,102.87
2003-04-29,103.3
2003-04-30,105.34
2003-05-01,105.35
2003-05-02,105.65
2003-05-06,106.18
2003-05-07,106.0
2003-05-08,106.01
2003-05-09,105.99
2003-05-12,106.15
2003-05-13,106.1
2003-05-14,106.26
2003-05-15,106.85
2003-05-16,106.76
2003-05-19,106.68
2003-05-20,106.76
2003-05-21,106.91
2003-05-22,106.93
2003-05-23,106.92
2003-05-27,106.9
2003-05-28,107.08
2003-05-29,107.17
2003-05-30,107.2
2003-06-02,107.3
2003-06-03,107.32
2003-06-04,107.54
2003-06-05,107.65
2003-06-06,108.01
2003-06-09,108.0
2003-06-10,108.18
2003-06-11,108.52
2003-06-12,109.31
2003-06-13,110.57
2003-06-16,110.84
2003-06-17,111.14
2003-06-18,111.31
2003-06-19,111.36
2003-06-20,111.54
2003-06-23,111.66
2003-06-24,111.53
2003-06-25,111.55
2003-06-26,111.65
2003-06-27,111.57
2003-06-30,111.6
2003-07-01,111.61
2003-07-02,111.78
2003-07-03,111.86
2003-07-04,111.93
2003-07-07,112.04
2003-07-08,111.88
2003-07-09,111.83
2003-07-10,111.83
2003-07-11,111.96
2003-07-14,111.96
2003-07-15,111.71
2003-07-16,111.69
2003-07-17,111.66
2003-07-18,111.58
2003-07-21,111.6
2003-07-22,111.58
2003-07-23,111.54
2003-07-24,111.57
2003-07-25,111.65
2003-07-28,111.82
2003-07-29,111.97
2003-07-30,112.0
2003-07-31,111.64
2003-08-01,111.6
2003-08-04,111.55
2003-08-05,111.55
2003-08-06,111.62
2003-08-07,111.53
2003-08-08,111.58
2003-08-11,111.46
2003-08-12,111.54
2003-08-13,111.64
2003-08-14,111.63
2003-08-15,111.34
2003-08-18,111.45
2003-08-19,111.62
2003-08-20,111.72
2003-08-21,112.06
2003-08-22,112.31
2003-08-26,112.39
2003-08-27,112.38
2003-08-28,112.5
2003-08-29,113.46
2003-09-01,113.54
2003-09-02,114.06
2003-09-03,114.19
2003-09-04,114.33
2003-09-05,114.17
2003-09-08,114.19
2003-09-09,114.1
2003-09-10,114.13
2003-09-11,114.2
2003-09-12,114.21
2003-09-15,114.63
2003-09-16,114.73
2003-09-17,114.87
2003-09-18,115.05
2003-09-19,115.11
2003-09-22,115.24
2003-09-23,115.41
2003-09-24,115.5
2003-09-25,115.46
2003-09-26,115.44
2003-09-29,115.4
2003-09-30,115.42
2003-10-01,115.32
2003-10-02,115.45
2003-10-03,115.49
2003-10-06,115.58
2003-10-07,115.47
2003-10-08,115.33
2003-10-09,115.47
2003-10-10,115.49
2003-10-13,115.77
2003-10-14,115.83
2003-10-15,116.1
2003-10-16,116.25
2003-10-17,116.22
2003-10-20,116.26
2003-10-21,116.42
2003-10-22,116.43
2003-10-23,116.42
2003-10-24,116.46
2003-10-27,116.54
2003-10-28,116.71
2003-10-29,116.93
2003-10-30,117.12
2003-10-31,117.37
2003-11-03,117.62
2003-11-04,117.65
2003-11-05,117.82
2003-11-06,117.83
