DateTime,open,high,low,close,volume,amt,turn,ma_5,ma_10,ma_22,ma_66,ma_125,ma_250,macd,msign,mdiff,vortex_20,uos,tsi,trix_20,stok,std_10,rsi_k,rsi_20,mass,mom_15,bspoint,label,signal
2004/11/19,965.92,971.37,962.27,970.8,756370000,4447150000,0.8077,964.838,953.088,942.6754545,956.2810606,979.72672,1060.50376,1.179921195,-7.107060689,8.286981885,0.201501623,3.890175681,0.024973086,-0.000734245,0.937362637,17.50334178,0.64250025,39.11720865,23.19987878,36.54,0,-1,0
2004/11/22,971.91,975.97,966.45,972.99,878640000,5052570000,0.9427,966.302,958.299,944.4731818,956.3936364,978.91944,1060.41696,3.35943646,-5.013761259,8.373197719,0.177654044,4.586516362,0.044496732,-0.000640229,0.68697479,14.31584938,0.662016433,39.83212319,23.07009811,48.11,0,-1,0
2004/11/23,974.06,974.23,963.51,964.87,926970000,5295910000,0.9893,966.074,962.485,945.3854545,956.5004545,978.21216,1060.36748,3.945627395,-3.221883528,7.167510923,0.263651795,4.250639103,0.051176018,-0.000547598,0.126865672,7.204400275,0.637434834,38.92886732,22.97062947,43.22,0,-1,0
2004/11/24,966.22,972.78,959.13,959.29,978110000,5608080000,1.0441,966.6,962.703,946.6913636,956.4554545,977.4184,1060.2876,3.624497702,-1.852607282,5.477104985,0.170194723,3.618057687,0.05001629,-0.00046291,0.011721612,7.05512115,0.600706904,37.52760123,22.94304762,21.05,0,-1,0
2004/11/25,958.16,961.48,952.6,958.61,818900000,4596990000,0.8863,965.312,963.423,947.5009091,956.4056061,976.43624,1060.17828,3.25195998,-0.83169383,4.08365381,0.027125075,3.659519282,0.048218693,-0.000386481,0.676801802,6.073708459,0.548619067,35.42634069,22.85406798,39.95,0,-1,0
2004/11/26,958.01,961.99,956.77,958.13,567240000,3162080000,0.657,962.778,963.808,947.8327273,956.5169697,975.5012,1060.08404,2.869324546,-0.091490155,2.960814701,0.181231398,3.70096093,0.046100042,-0.000318224,0.260536398,5.527190968,0.551972587,35.56587221,22.67047033,38.68,0,-1,0
2004/11/29,956.67,956.7,945.36,946.61,601340000,3486980000,0.6602,957.502,961.902,947.66,956.4345455,974.43024,1059.99772,1.013487883,0.129505453,0.88398243,0.150268336,3.034604909,0.029419453,-0.0002679,0.110229277,7.680598645,0.466306255,31.80142304,22.48229406,25.73,0,-1,0
2004/11/30,944.46,949.47,943.12,946.8,522840000,3156940000,0.5917,953.888,959.981,948.23,956.5156061,973.23816,1059.85528,-0.414566708,0.020691021,-0.435257729,0.201421283,2.626384089,0.015720266,-0.000231754,0.579527559,8.851972096,0.451114515,31.08745108,22.27224802,23.79,0,-1,0
2004/12/1,946.57,948.4,941.49,942.71,577100000,3450730000,0.6351,950.572,958.586,949.0404545,956.3684848,972.1036,1059.59264,-2.066426785,-0.39673254,-1.669694244,0.117339199,2.424137557,-0.00126227,-0.000210536,0.176555716,10.3977286,0.439596031,30.53606855,22.08873689,-14.4,0,-1,0
2004/12/2,941.34,941.86,934.35,939.92,682800000,4183410000,0.7382,946.834,956.073,949.8709091,956.2437879,971.07152,1059.35804,-3.704868425,-1.058359717,-2.646508708,0.063384035,2.773731947,-0.019358436,-0.000203266,0.741677763,11.6261172,0.391232326,28.12127914,21.96589787,-11.49,0,-1,0
