DateTime,open,high,low,close,volume,amt,turn,bspoint,label
2016/3/4,2453.17,2507.19,2448.26,2500.72,17583160000,161000000000.0,0.7954,0,
2016/3/7,2509.87,2525.58,2489.72,2504.41,9929350000,95723680000.0,0.4492,0,
2016/3/8,2499.92,2508.17,2422.99,2507.28,10034220000,96241480000.0,0.4539,0,-1.0
2016/3/9,2458.89,2484.0,2438.69,2483.76,8440130000,80485740000.0,0.3818,0,
2016/3/10,2469.71,2483.74,2435.2,2435.61,5548940000,57469800000.0,0.251,0,1.0
2016/3/11,2417.71,2446.6,2412.13,2442.04,5594000000,56544900000.0,0.2531,0,
2016/3/14,2458.36,2510.24,2453.51,2475.24,8854960000,94471830000.0,0.4006,0,
2016/3/15,2472.99,2488.84,2447.46,2487.33,7553650000,79823610000.0,0.3417,0,
2016/3/16,2480.72,2510.96,2477.01,2504.01,10456760000,106000000000.0,0.473,0,
2016/3/17,2507.82,2547.17,2491.94,2526.44,9373650000,108000000000.0,0.424,0,
2016/3/18,2536.61,2582.74,2531.23,2561.44,15397050000,167000000000.0,0.6965,0,
2016/3/21,2588.66,2644.43,2584.94,2628.19,18758470000,211000000000.0,0.8485,0,-1.0
2016/3/22,2614.72,2627.89,2602.01,2607.83,12883820000,161000000000.0,0.5828,0,
2016/3/23,2601.72,2620.83,2590.34,2618.46,9817600000,130000000000.0,0.4436,0,
2016/3/24,2598.4,2606.55,2574.09,2574.09,9895650000,133000000000.0,0.4471,0,
2016/3/25,2569.95,2590.93,2567.81,2585.08,7140460000,93300000000.0,0.3226,0,
2016/3/28,2591.98,2609.43,2553.73,2560.24,7650400000,96374380000.0,0.3455,0,
2016/3/29,2562.2,2568.5,2526.61,2535.99,7429480000,92186410000.0,0.3356,0,1.0
2016/3/30,2556.62,2599.98,2556.6,2599.2,9332370000,115000000000.0,0.4215,0,
2016/3/31,2609.09,2620.51,2593.22,2600.1,9511270000,119000000000.0,0.4296,0,
2016/4/1,2595.91,2602.44,2556.9,2601.69,8969660000,98269210000.0,0.4051,0,
2016/4/5,2591.92,2640.22,2587.66,2633.21,11344930000,127000000000.0,0.5124,0,-1.0
2016/4/6,2621.07,2633.47,2609.82,2625.24,8473400000,98849340000.0,0.3827,0,
2016/4/7,2633.03,2635.52,2586.2,2586.37,8075900000,94820960000.0,0.3648,0,
2016/4/8,2570.46,2576.99,2549.78,2566.72,7337650000,83518410000.0,0.3314,0,1.0
