DateTime,open,high,low,close,volume,amt,turn
2015/11/27,6888.57,6911.45,6424.44,6471.59,20695480000,3.26E+11,4.0849
2015/11/30,6470.58,6550.42,6142.11,6510.14,17646940000,2.74E+11,3.4831
2015/12/1,6500.11,6578.7,6421.83,6498.61,14313060000,2.27E+11,2.8251
2015/12/2,6483.6,6500.26,6243.33,6437.37,13387530000,2.04E+11,2.6424
2015/12/3,6445.54,6600.68,6445.54,6600.3,12676290000,1.97E+11,2.502
2015/12/4,6578.34,6651.14,6525.67,6574.33,13875580000,2.21E+11,2.7365
2015/12/7,6588.62,6656.49,6544.89,6656.49,12536270000,2.06E+11,2.4691
2015/12/8,6619.07,6619.37,6499.03,6506.79,13091570000,2.12E+11,2.5786
2015/12/9,6475,6541.1,6440.25,6489.54,11366050000,1.94E+11,2.2385
2015/12/10,6483.85,6550.29,6461.89,6476.44,11204510000,1.97E+11,2.2067
2015/12/11,6448.92,6483.98,6399.07,6430.97,10054610000,1.69E+11,1.9797
2015/12/14,6367.28,6553.14,6361.81,6553.14,10492840000,1.69E+11,2.0659
2015/12/15,6557.84,6658.74,6557.83,6632.61,11802810000,1.95E+11,2.323
2015/12/16,6654.3,6714.95,6646.99,6671.92,12161490000,2.11E+11,2.3928
2015/12/17,6704.79,6846.9,6702.98,6846.9,17284890000,2.83E+11,3.3997
2015/12/18,6839.94,6869.07,6784.7,6833.17,15880720000,2.65E+11,3.1232
2015/12/21,6820.93,6899.17,6815.54,6892.13,14900210000,2.41E+11,2.9303
2015/12/22,6909.75,6957.44,6861.95,6957.44,14331090000,2.31E+11,2.8184
2015/12/23,6962.31,6972.77,6851.6,6866.92,15587210000,2.57E+11,3.0654
2015/12/24,6845.36,6866.01,6725.71,6849.17,11975580000,1.97E+11,2.3552
2015/12/25,6859.47,6914.9,6852.24,6901.14,10995240000,1.82E+11,2.1624
2015/12/28,6921.56,6963.15,6746.53,6746.53,14886420000,2.41E+11,2.9209
2015/12/29,6737.65,6825.85,6688.01,6825.85,11080400000,1.83E+11,2.1738
2015/12/30,6839.99,6912.31,6828.14,6909.21,12110930000,2.07E+11,2.3752
2015/12/31,6910.6,6926.4,6797.64,6797.64,11046870000,1.91E+11,2.1662
2016/1/4,6795.08,6798.36,6216.6,6216.7,10655200000,1.71E+11,2.1149
2016/1/5,5889.43,6230.15,5865.86,6100.72,15476810000,2.32E+11,3.0719
2016/1/6,6136.2,6271.31,6083.52,6271.31,13602410000,2.07E+11,2.6998
2016/1/7,6146.25,6192.31,5712.81,5717.5,4028880000,53457690000,0.7997
2016/1/8,5852.13,5908.9,5461.19,5768.54,14825160000,2.06E+11,2.9393
2016/1/11,5630.03,5707.45,5352.3,5352.87,14370670000,1.81E+11,2.8404
2016/1/12,5331.56,5414.05,5213.77,5348.35,11967120000,1.54E+11,2.3641
2016/1/13,5374.94,5425.97,5133.78,5133.78,11444510000,1.46E+11,2.2608
2016/1/14,4950.82,5344.41,4946.87,5332.45,12303880000,1.54E+11,2.4295
2016/1/15,5290.37,5353.14,5096.34,5133.43,11912380000,1.56E+11,2.351
2016/1/18,5017.79,5301.81,5017.79,5236.53,10109890000,1.37E+11,1.9945
2016/1/19,5222.66,5445.41,5211.34,5439.56,11910870000,1.62E+11,2.3498
2016/1/20,5400.39,5487.55,5346.49,5392.17,12370720000,1.69E+11,2.4393
2016/1/21,5295.17,5445.04,5154.69,5154.82,11233900000,1.55E+11,2.2145
2016/1/22,5220.94,5270.55,5067.4,5243.5,9480990000,1.30E+11,1.8685
2016/1/25,5293.74,5352.59,5242.87,5306.54,8947120000,1.23E+11,1.7618
2016/1/26,5235.94,5243.71,4885.82,4893.63,11144800000,1.42E+11,2.1938
2016/1/27,4908.67,4923.94,4577.66,4833.42,11722070000,1.42E+11,2.3061
