date,open,close,high,low,volume
2015/10/23,2687.397,2763.982,2773.981,2682.682,11395286.7
2015/10/26,2806.441,2787.446,2813.439,2735.871,11279935.2
2015/10/27,2763.146,2835.307,2853.395,2650.445,11108875.4
2015/10/28,2817.054,2764.365,2874.705,2751.37,10656219
2015/10/29,2789.582,2787.833,2833.53,2739.654,8879227.1
2015/10/30,2769,2785.215,2837.274,2712.277,8943826
2015/11/2,2697.338,2756.055,2853.935,2685.004,9252564.8
2015/11/3,2753.242,2751.217,2796.608,2714.545,7354087.6
2015/11/4,2759.695,2911.854,2911.854,2759.695,10304677.3
2015/11/5,2914.528,2907.456,2973.062,2876.436,13018330
2015/11/6,2972.351,3071.419,3073.623,2972.351,12290129.2
2015/11/9,3085.24,3139.297,3161.473,3019.696,15999457
2015/11/10,3105.769,3169.936,3186.888,3095.284,12788311.4
2015/11/11,3177.53,3289.505,3291.407,3169.935,11881423.6
2015/11/12,3310.623,3318.452,3353.584,3253.78,12281271.2
2015/11/13,3277.134,3220.394,3293.466,3184.217,10523465.1
2015/11/16,3148.156,3332.792,3332.792,3138.747,10892921.7
2015/11/17,3358.3,3261.713,3388.552,3254.279,13462829
2015/11/18,3258.388,3175.842,3284.858,3166.433,10821263.3
2015/11/19,3183.385,3359.894,3359.894,3183.385,12200866.1
2015/11/20,3385.48,3468.702,3488.926,3381.41,15795076
2015/11/23,3461.097,3416.137,3505.056,3396.793,14624653
2015/11/24,3401.224,3549.3,3549.3,3378.69,12310974.1
2015/11/25,3557.217,3650.25,3658.645,3550.187,14005434
2015/11/26,3672.151,3647.933,3681.487,3620.697,14209801
2015/11/27,3606.262,3361.149,3651.16,3328.668,13303991.4
2015/11/30,3361.346,3429.953,3435.094,3176.285,11190301.8
2015/12/1,3420.671,3369.289,3451.81,3314.141,9908555.3
2015/12/2,3347.157,3270.918,3364.334,3127.426,8297542.5
2015/12/3,3269.314,3394.122,3394.122,3268.993,7899341.8
2015/12/4,3406.7,3380.612,3456.014,3340.148,9348253.4
2015/12/7,3382.07,3433.243,3433.243,3355.82,8515801.7
2015/12/8,3401.863,3341.353,3410.446,3326.812,8439989.2
2015/12/9,3309.773,3336.963,3372.538,3303.942,7173490.3
2015/12/10,3350.375,3367.444,3408.771,3337.668,7014595
2015/12/11,3361.113,3384.545,3416.37,3357.011,7127476.5
2015/12/14,3356.231,3442.403,3442.403,3335.013,6675853.3
2015/12/15,3464.58,3510.92,3534.553,3462.925,7115108.5
2015/12/16,3554.603,3582.826,3619.218,3554.603,8554420.9
2015/12/17,3615.002,3704.159,3704.159,3615.002,10931913.4
2015/12/18,3715.129,3691.621,3736.784,3663.27,10200268.2
2015/12/21,3690.607,3719.876,3728.466,3676.499,8452512.4
2015/12/22,3740.087,3781.495,3781.565,3725.91,8937454.3
2015/12/23,3794.337,3752.67,3819.595,3748.888,9438232.5
2015/12/24,3762.653,3801.1,3811.155,3691.848,7335752.6
2015/12/25,3816.016,3844.992,3859.479,3804.401,7072440.4
2015/12/28,3865.614,3758.413,3905.986,3757.76,8705537.3
2015/12/29,3765.568,3848.402,3848.402,3740.471,6588762.9
2015/12/30,3870.838,3957.536,3957.754,3865.756,8579181.4
2015/12/31,3987.478,3851.354,3987.478,3850.383,7425888.6
2016/1/4,3835.803,3504.005,3841.253,3503.424,6665841.1
2016/1/5,3230.559,3318.489,3421.011,3189.121,9711891.7
2016/1/6,3326.066,3418.045,3418.233,3290.878,7089222.8
2016/1/7,3348.36,3108.342,3348.36,3099.491,1984020.6
2016/1/8,3182.464,3087.181,3219.764,2910.903,7814671.8
2016/1/11,2998.621,2820.518,3014.079,2820.402,6913068.6
2016/1/12,2807.214,2813.972,2866.498,2733.827,6177497.2
2016/1/13,2832.125,2668.017,2858.571,2667.433,6005469.4
2016/1/14,2543.627,2808.616,2818.382,2543.476,6454968.4
2016/1/15,2782.625,2695.598,2826.191,2674.292,6159977.8
2016/1/18,2625.127,2779.408,2831.954,2618.563,5463447.3
2016/1/19,2774.846,2906.369,2912.452,2773.482,6340165.6
2016/1/20,2875.167,2873.851,2931.923,2840.126,6219854.8
2016/1/21,2821.579,2742.142,2922.11,2739.864,6039157.6
2016/1/22,2786.122,2827.355,2838.583,2707.943,5251438.8
2016/1/25,2860.285,2882.782,2906.361,2835.944,5205932.7
2016/1/26,2847.135,2629.26,2847.135,2615.662,6508522.6
2016/1/27,2640.868,2611.975,2652.826,2442.826,7156029.5
2016/1/28,2556.039,2445.449,2593.346,2434.558,6075269.2
2016/1/29,2412.136,2566.291,2596.513,2412.136,6153765.3
2016/2/1,2561.8,2544.405,2602.945,2488.382,4853301.6
2016/2/2,2553.514,2668.937,2678.49,2550.868,5558543.6
2016/2/3,2622.1,2687.979,2704.968,2593.796,5400161.4
2016/2/4,2706.472,2761.485,2781.386,2701.956,5654710.3
2016/2/5,2767.118,2712.309,2776.514,2712.309,4547888.5
2016/2/15,2609.241,2714.239,2734.112,2597.297,4280559.9
2016/2/16,2731.725,2861.486,2870.621,2731.412,6296673.9
2016/2/17,2853.182,2920.257,2924.934,2833.366,6667701.4
2016/2/18,2946.315,2924.413,2965.465,2912.9,6737628.7
2016/2/19,2903.644,2970.286,2993.911,2899.814,6180109.2
2016/2/22,3022.004,3053.454,3053.454,3008.492,7521449.8
2016/2/23,3059.501,3032.499,3068.182,2981.129,7360773.1
2016/2/24,3012.727,3014.601,3038.861,2923.091,7011568.2
2016/2/25,3005.497,2725.731,3005.497,2722.539,7905263.5
2016/2/26,2746.361,2716.431,2771.855,2654.648,5947686.9
2016/2/29,2689.049,2490.807,2689.321,2467.638,5917281.8
2016/3/1,2492.321,2548.34,2578.376,2412.029,5165621.8
2016/3/2,2547.168,2690.198,2697.893,2534.099,6235863.4
